name,color1,color2
Air Force,#00308F,#A6A6A8
Akron,#002147,#917B4C
Alabama,#990000,#EEEEEE
Appalachian State,#FFCC00,#000000
Arizona,#CC0033,#003366
Arizona State,#FFC425,#A40046
Arkansas,#9D2235,#D24362
Arkansas State,#CC092F,#000000
Army,#FFD530,#D4BF91
Auburn,#F26522,#0C2340
Ball State,#BA0C2F,#FFFFFF
Baylor,#003015,#FFBC19
Boise State,#0039A6,#F9461C
Boston College,#910039,#B38F59
Bowling Green,#FF7C19,#4F2C1D
Buffalo,#005BBB,#666666
BYU,#002255,#A7A9AC
California,#041E42,#FFC72C
Fresno State,#FF0059,#004AA8
UCLA,#3284BF,#FFE800
UCF,#FFCA06,#CC9900
Central Michigan,#6F263D,#FFC72C
Cincinnati,#E00122,#000000
Clemson,#F56600,#522D80
Coastal Carolina,#006F71,#A27752
Colorado,#CFB87C,#565A5C
Colorado State,#1D7328,#2A7B00
Connecticut,#000E2F,#A2AAAD
Duke,#001A57,#0736A4
Eastern Michigan,#00693F,#969696
East Carolina,#592A8A,#FDC82F
Florida,#FA4616,#0021A5
Florida Atlantic,#002D60,#C10435
Florida International,#081E3F,#B6862C
Florida State,#782F40,#CEB888
Georgia,#DA291C,#EC948D
Georgia Southern,#041C42,#A99260
Georgia State,#0039A6,#C60C30
Georgia Tech,#B19142,#00254C
Hawai'i,#024731,#DA291C
Houston,#C92A39,#7D2935
Idaho,#B18E5F,#9F9D9D
Illinois,#13294B,#E04E39
Indiana,#7D110C,#E1D8B7
Iowa,#FFE100,#000000
Iowa State,#C80000,#F1BE48
Kansas,#0022B4,#E8000D
Kansas State,#512888,#D1D1D1
Kent State,#003976,#EFAB00
Kentucky,#0033A0,#C8C9C7
LSU,#461D7C,#FDD023
Louisiana Tech,#FF0000,#002F8B
Louisiana-Lafayette,#CE181E,#F18C21
Louisiana-Monroe,#800029,#BE955B
Louisville,#E31B23,#FDB913
Marshall,#007A33,#693F23
Maryland,#FF0017,#FFD90F
Massachusetts,#881C1C,#DDDEE0
Memphis,#003087,#898D8D
Miami (FL),#005030,#F47321
Miami (OH),#F5002F,#FFFFFF
Michigan,#FFCB05,#00274C
Michigan State,#18453B,#99A2A2
Middle Tennessee,#0066CC,#B0B1B5
Minnesota,#FFCC33,#7A0019
Ole Miss,#C8102E,#00205B
Mississippi State,#660000,#CCCCCC
Missouri,#F1B82D,#000000
Navy,#00205B,#C5B783
Nebraska,#DD0000,#F5F1E7
Nevada,#002E62,#807F84
UNLV,#B10202,#666666
New Mexico,#B71234,#C3C8C8
New Mexico State,#8C0B42,#97999B
North Carolina,#7BAFD4,#13294B
NC State,#CC0000,#FFFFFF
Charlotte,#00703C,#F0CB00
North Texas,#059033,#FFFFFF
NIU,#CC0000,#A5A7A8
Northwestern,#4E2A84,#B3B3B3
Notre Dame,#0C2340,#C99700
Ohio,#00694E,#D3A985
Ohio State,#BB0000,#666666
Oklahoma,#841617,#FDF9D8
Oklahoma State,#D95900,#F27D00
Old Dominion,#003057,#8A8D8F
Oregon,#124734,#FEE123
Oregon State,#D85A1A,#685040
Penn State,#041E42,#A2AAAD
Pittsburgh,#00205B,#B3A36D
Purdue,#CEB888,#9D968D
Rice,#00246A,#5E6062
Rutgers,#D23C34,#848589
San Diego State,#C23138,#231F20
San Jose State,#0055A2,#E5A823
South Alabama,#00205B,#BF0D3E
South Carolina,#000000,#73000A
South Florida,#006747,#CFC493
USC,#991B1E,#FFCC00
SMU,#CC0000,#354CA1
Southern Miss,#FDC737,#000000
Stanford,#990000,#175E54
Syracuse,#D44500,#0D1D37
Temple,#981E32,#8A8D8F
Tennessee,#FF8200,#58595B
Texas,#BF5700,#FFFFFF
Texas A&M,#500000,#8F8F8C
TCU,#4D1979,#A4A9A3
Texas State,#501214,#B4985A
Texas Tech,#CC0000,#CCCCCC
UTEP,#FF5600,#002147
UTSA,#F15A22,#0C2340
Toledo,#002569,#FFCE00
Troy,#AC2C41,#862633
Tulane,#154734,#0082BA
Tulsa,#003DCC,#D4C581
UAB,#1E6B52,#F4C300
Utah,#CC0000,#808080
Utah State,#002A42,#9D968D
Vanderbilt,#CFAB6D,#000000
Virginia,#FA4616,#041E42
Virginia Tech,#660000,#FF6600
Wake Forest,#9E7E38,#000000
Washington,#33006F,#E8D3A2
Washington State,#981E32,#53565A
West Virginia,#002855,#EAAA00
Western Kentucky,#B01E24,#FFFFFF
Western Michigan,#442416,#FFAE00
Wisconsin,#B70101,#E7D9C1
Wyoming,#FFC425,#492F24